epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2394,1.09841,0.79619,1.33741,0.80671,0.79436,0.84263,0.5845,1.16631,0.86411,1.41358,0.000428887,0.000428887,0.000428887
43,2450.68,1.06308,0.79721,1.31429,0.79318,0.83004,0.85317,0.59473,1.15253,0.85338,1.4017,0.000425006,0.000425006,0.000425006
44,2507,1.05943,0.76821,1.33968,0.84691,0.77638,0.86469,0.60425,1.14685,0.84629,1.42179,0.000421126,0.000421126,0.000421126
45,2563.85,1.05058,0.771,1.30721,0.8298,0.80089,0.84803,0.5925,1.13065,0.78027,1.40653,0.000417245,0.000417245,0.000417245
46,2621.33,1.0484,0.74445,1.29154,0.84206,0.79128,0.84843,0.59553,1.13448,0.84381,1.39834,0.000413364,0.000413364,0.000413364
47,2678.12,1.02123,0.76521,1.29528,0.84104,0.77483,0.85548,0.59573,1.13589,0.82863,1.40992,0.000409483,0.000409483,0.000409483
48,2735.26,1.0323,0.72373,1.31072,0.83976,0.795,0.85105,0.59347,1.14473,0.82479,1.41016,0.000405602,0.000405602,0.000405602
49,2792.47,1.02568,0.73227,1.29836,0.82995,0.79335,0.85267,0.60025,1.14509,0.79767,1.41375,0.000401722,0.000401722,0.000401722
50,2849.23,1.00803,0.72637,1.29582,0.86297,0.7755,0.85948,0.5982,1.16511,0.80974,1.44854,0.000397841,0.000397841,0.000397841
51,2905.85,1.02288,0.72773,1.28248,0.83501,0.76605,0.8499,0.59447,1.12922,0.86266,1.41336,0.00039396,0.00039396,0.00039396
52,2962.55,1.01551,0.71382,1.27047,0.75577,0.80789,0.83615,0.58582,1.17583,0.89157,1.43182,0.000390079,0.000390079,0.000390079
53,3019.33,1.01595,0.74304,1.28233,0.80785,0.80612,0.84209,0.58607,1.15814,0.81122,1.41371,0.000386198,0.000386198,0.000386198
54,3075.73,1.01566,0.69772,1.28709,0.83813,0.7957,0.84066,0.57771,1.14678,0.83365,1.41036,0.000382318,0.000382318,0.000382318
55,3132.29,1.02705,0.70651,1.30523,0.81699,0.81887,0.85446,0.58243,1.15998,0.86617,1.42057,0.000378437,0.000378437,0.000378437
56,3188.4,1.01132,0.68222,1.27405,0.83589,0.81148,0.86516,0.60364,1.16411,0.80639,1.42465,0.000374556,0.000374556,0.000374556
57,3244.58,0.98146,0.67213,1.26946,0.84123,0.77542,0.8366,0.60016,1.16788,0.81274,1.43218,0.000370675,0.000370675,0.000370675
58,3300.88,0.99601,0.68824,1.2853,0.82766,0.83448,0.86381,0.60292,1.15867,0.79032,1.43069,0.000366794,0.000366794,0.000366794
59,3356.62,0.97654,0.65467,1.2513,0.86345,0.77958,0.86463,0.60171,1.15066,0.76892,1.4058,0.000362914,0.000362914,0.000362914
60,3413.25,1.00017,0.66903,1.27608,0.86084,0.82853,0.87788,0.60544,1.17801,0.77634,1.42747,0.000359033,0.000359033,0.000359033
61,3469.4,0.98697,0.63524,1.26498,0.80733,0.81091,0.85985,0.59589,1.15682,0.81255,1.41941,0.000355152,0.000355152,0.000355152
